Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV2 (A),EV2 (kW),EV2 (kWh),EV0 (A),EV0 (kW),EV0 (kWh),EV3 (A),EV3 (kW),EV3 (kWh),EV1 (A),EV1 (kW),EV1 (kWh)
2022-03-21 12:10:00,13.6768,-11.9614,0.1745,20.0,6.308000063078676,-8.878709220957672e-12,20,6.308000063071328,-5.8182829304033586e-11,20,6.308000063077982,-1.3537683103728366e-11,20.0,6.308000061390983,-1.1331865356022428e-08
2022-03-21 12:15:00,13.402399999999997,-11.96,0.1745,20.0,6.308000063078729,-8.527670596543876e-12,20,6.308000063071634,-5.6129487773437685e-11,20,6.308000063078053,-1.305995153649161e-11,20.0,6.308000061421503,-1.1128328606465028e-08
2022-03-21 12:20:00,13.729599999999998,-11.8732,0.1745,20.0,6.30800006307878,-8.176544221204255e-12,20,6.30800006307194,-5.407524684413404e-11,20,6.308000063078125,-1.2582008008233451e-11,20.0,6.308000061451824,-1.092472862212828e-08
2022-03-21 12:25:00,13.741600000000002,-11.9168,0.1745,20.0,6.3080000630788335,-7.825237127299523e-12,20,6.308000063072245,-5.201966423940821e-11,20,6.308000063078195,-1.2103717077875086e-11,20.0,6.308000061482212,-1.0721085962668574e-08
2022-03-21 12:30:00,15.2178,-11.871199999999998,0.1745,20.0,6.308000063078768,-7.464300392132256e-12,20,6.308000063072341,-4.994649116500224e-11,20,6.308000063078146,-1.1615671161347459e-11,20.0,6.307999649458144,8.432424267465144e-09
2022-03-21 12:35:00,13.575,-11.789,0.1745,20.0,6.308000063078938,-7.1224216766100594e-12,20,6.30800006307286,-4.7906978340958465e-11,20,6.308000063078338,-1.114701474839493e-11,20.0,6.30800006153261,-1.0382644663569131e-08
2022-03-21 12:40:00,13.1956,-11.7634,0.1745,20.0,6.30800006307899,-6.7704707656574295e-12,20,6.308000063073166,-4.584849750395904e-11,20,6.308000063078409,-1.0668028486858628e-11,20.0,6.308000061563219,-1.01774916158869e-08
2022-03-21 12:45:00,13.701200000000002,-11.7572,0.1745,20.0,6.308000063078842,-6.4024344517824465e-12,20,6.308000063073386,-4.3782008549666776e-11,20,6.308000063078289,-1.0173469462554868e-11,20.0,6.3080000609827565,-9.922420084326943e-09
2022-03-21 12:50:00,14.185199999999998,-11.7654,0.1745,20.0,6.308000063078917,-6.052619864133808e-12,20,6.308000063073568,-4.171143176590334e-11,20,6.308000063078387,-9.696779057597807e-12,20.0,6.307999671401125,8.533564279885066e-09
2022-03-21 12:55:00,12.929799999999998,-11.6278,0.1745,20.0,6.308000063078936,-5.698109101180606e-12,20,6.308000061107499,1.1591586505699716e-10,20,6.308000063078467,-9.218246439998699e-12,20.0,6.307999901960674,2.066666189550898e-09
2022-03-21 13:00:00,13.093400000000004,-11.7018,0.15699,20.0,6.308000063078271,-5.29004254678593e-12,20,6.308000063072246,-4.518580019937032e-11,20,6.308000063077577,-8.662786377208187e-12,20.0,6.308000061637219,-9.658491587808062e-09
